,name,year_start,college,fame,YEAR,G,POS,TRB%,STL%,BLK%,PTS,AST%,division
0,Alaa Abdelnaby,1991,Duke University,0,1993.0,75.0,PF,14.6,1.0,1.2,578.0,3.0,1
1,Alaa Abdelnaby,1991,Duke University,0,1993.0,12.0,PF,13.4,1.9,1.6,64.0,9.5,1
2,Alaa Abdelnaby,1991,Duke University,0,1995.0,54.0,PF,13.1,1.5,1.8,256.0,5.0,1
3,Alaa Abdelnaby,1991,Duke University,0,1995.0,51.0,PF,13.0,1.6,1.9,254.0,5.3,1
4,Kareem Abdul-Jabbar,1970,"University of California, Los Angeles",1,1982.0,76.0,C,13.4,1.1,4.1,1818.0,11.9,1
5,Kareem Abdul-Jabbar,1970,"University of California, Los Angeles",1,1983.0,79.0,C,12.8,1.1,3.5,1722.0,10.8,1
6,Kareem Abdul-Jabbar,1970,"University of California, Los Angeles",1,1984.0,80.0,C,12.7,1.0,2.9,1717.0,11.5,1
7,Kareem Abdul-Jabbar,1970,"University of California, Los Angeles",1,1985.0,79.0,C,13.5,1.1,3.3,1735.0,13.1,1
8,Kareem Abdul-Jabbar,1970,"University of California, Los Angeles",1,1986.0,79.0,C,10.3,1.2,2.7,1846.0,15.7,1
9,Kareem Abdul-Jabbar,1970,"University of California, Los Angeles",1,1987.0,78.0,C,11.9,0.9,2.2,1366.0,11.6,1
10,Kareem Abdul-Jabbar,1970,"University of California, Los Angeles",1,1988.0,80.0,C,11.7,1.0,2.2,1165.0,8.4,1
11,Kareem Abdul-Jabbar,1970,"University of California, Los Angeles",1,1989.0,74.0,C,11.0,1.1,2.9,748.0,6.1,1
12,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,1991.0,67.0,PG,3.8,1.5,0.1,942.0,19.2,1
13,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,1992.0,81.0,PG,4.0,1.4,0.2,837.0,21.0,1
14,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,1993.0,81.0,PG,4.4,1.5,0.2,1553.0,20.8,1
15,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,1994.0,80.0,PG,3.6,1.6,0.2,1437.0,24.1,1
16,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,1995.0,73.0,PG,3.9,1.9,0.3,1165.0,23.0,1
17,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,1996.0,57.0,PG,3.9,1.6,0.1,1095.0,34.7,1
18,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,1997.0,75.0,PG,3.3,1.4,0.2,1031.0,15.8,1
19,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,1998.0,31.0,PG,3.9,1.6,0.1,227.0,19.7,1
20,Mahmoud Abdul-Rauf,1991,Louisiana State University,0,2001.0,41.0,PG,2.9,1.0,0.1,266.0,32.7,1
21,Tariq Abdul-Wahad,1998,San Jose State University,0,1998.0,59.0,SG,6.7,1.9,0.9,376.0,8.9,1
22,Tariq Abdul-Wahad,1998,San Jose State University,0,1999.0,49.0,SG,8.1,2.1,0.8,454.0,6.5,1
23,Tariq Abdul-Wahad,1998,San Jose State University,0,2000.0,61.0,SG,10.0,1.8,1.2,697.0,10.0,1
24,Tariq Abdul-Wahad,1998,San Jose State University,0,2000.0,46.0,SG,10.8,2.2,0.9,563.0,9.7,1
25,Tariq Abdul-Wahad,1998,San Jose State University,0,2000.0,15.0,SG,7.6,0.8,2.2,134.0,11.0,1
26,Tariq Abdul-Wahad,1998,San Jose State University,0,2001.0,29.0,SG,7.6,1.7,2.1,111.0,8.1,1
27,Tariq Abdul-Wahad,1998,San Jose State University,0,2002.0,24.0,SG,10.8,2.4,1.7,135.0,8.8,1
28,Tariq Abdul-Wahad,1998,San Jose State University,0,2002.0,20.0,SG,10.7,2.3,1.6,135.0,8.7,1
29,Tariq Abdul-Wahad,1998,San Jose State University,0,2003.0,14.0,SG,10.8,1.5,1.1,57.0,15.4,1
30,Shareef Abdur-Rahim,1997,University of California,0,1997.0,80.0,PF,11.5,1.5,2.2,1494.0,12.1,1
31,Shareef Abdur-Rahim,1997,University of California,0,1998.0,82.0,SF,11.3,1.6,1.8,1829.0,13.5,1
32,Shareef Abdur-Rahim,1997,University of California,0,1999.0,50.0,SF,10.9,1.8,2.0,1152.0,17.6,1
33,Shareef Abdur-Rahim,1997,University of California,0,2000.0,82.0,SF,15.3,1.5,1.9,1663.0,15.5,1
34,Shareef Abdur-Rahim,1997,University of California,0,2001.0,81.0,SF,13.0,1.5,1.6,1663.0,14.3,1
35,Shareef Abdur-Rahim,1997,University of California,0,2002.0,77.0,PF,13.3,1.7,2.0,1636.0,15.1,1
36,Shareef Abdur-Rahim,1997,University of California,0,2003.0,81.0,PF,12.5,1.5,0.9,1608.0,14.7,1
37,Shareef Abdur-Rahim,1997,University of California,0,2004.0,85.0,PF,13.6,1.4,1.0,1384.0,12.3,1
38,Shareef Abdur-Rahim,1997,University of California,0,2004.0,53.0,PF,14.3,1.2,0.7,1065.0,12.6,1
39,Shareef Abdur-Rahim,1997,University of California,0,2004.0,32.0,PF,11.8,1.8,1.8,319.0,11.5,1
40,Shareef Abdur-Rahim,1997,University of California,0,2005.0,54.0,PF,12.1,1.4,1.0,909.0,10.7,1
41,Shareef Abdur-Rahim,1997,University of California,0,2006.0,72.0,PF,10.6,1.3,1.6,887.0,13.2,1
42,Shareef Abdur-Rahim,1997,University of California,0,2007.0,80.0,C,11.6,1.3,1.5,793.0,9.2,1
43,Alex Abrines,2017,Unknown,0,2017.0,68.0,SG,4.5,1.7,0.6,406.0,5.5,0
44,Alex Acker,2006,Pepperdine University,0,2009.0,25.0,SG,7.0,1.3,1.5,72.0,10.2,1
45,Alex Acker,2006,Pepperdine University,0,2009.0,7.0,SG,5.9,5.5,3.9,9.0,9.1,1
46,Alex Acker,2006,Pepperdine University,0,2009.0,18.0,SG,7.1,0.9,1.2,63.0,10.3,1
47,Mark Acres,1988,Oral Roberts University,0,1989.0,62.0,C,13.3,1.5,0.6,137.0,3.7,1
48,Mark Acres,1988,Oral Roberts University,0,1990.0,80.0,C,13.4,1.0,0.8,362.0,5.0,1
49,Mark Acres,1988,Oral Roberts University,0,1991.0,68.0,C,14.9,0.9,1.1,285.0,2.5,1
50,Mark Acres,1988,Oral Roberts University,0,1992.0,68.0,C,15.2,1.3,1.0,208.0,3.2,1
51,Mark Acres,1988,Oral Roberts University,0,1993.0,18.0,C,14.0,0.5,1.4,64.0,2.5,1
52,Mark Acres,1988,Oral Roberts University,0,1993.0,6.0,C,14.8,0.0,0.0,6.0,0.0,1
53,Quincy Acy,2013,Baylor University,0,2013.0,29.0,PF,13.4,2.0,3.5,116.0,5.2,1
54,Quincy Acy,2013,Baylor University,0,2014.0,63.0,SF,14.4,1.4,2.5,171.0,4.9,1
55,Quincy Acy,2013,Baylor University,0,2014.0,7.0,SF,14.3,3.4,3.9,19.0,10.1,1
56,Quincy Acy,2013,Baylor University,0,2014.0,56.0,SF,14.4,1.2,2.4,152.0,4.4,1
57,Quincy Acy,2013,Baylor University,0,2015.0,68.0,PF,13.5,1.1,1.4,398.0,8.7,1
58,Quincy Acy,2013,Baylor University,0,2016.0,59.0,PF,11.6,1.6,2.2,307.0,4.4,1
59,Quincy Acy,2013,Baylor University,0,2017.0,38.0,PF,11.0,1.2,2.0,222.0,4.9,1
60,Quincy Acy,2013,Baylor University,0,2017.0,6.0,PF,9.7,0.0,0.0,13.0,0.0,1
61,Quincy Acy,2013,Baylor University,0,2017.0,32.0,PF,11.1,1.3,2.2,209.0,5.4,1
62,Alvan Adams,1976,University of Oklahoma,0,1982.0,79.0,C,13.6,2.3,1.9,1196.0,22.1,1
63,Alvan Adams,1976,University of Oklahoma,0,1983.0,80.0,C,12.4,2.2,1.7,1135.0,21.8,1
64,Alvan Adams,1976,University of Oklahoma,0,1984.0,70.0,C,12.9,2.4,1.2,670.0,20.3,1
65,Alvan Adams,1976,University of Oklahoma,0,1986.0,78.0,C,13.7,2.4,1.3,841.0,22.5,1
66,Alvan Adams,1976,University of Oklahoma,0,1987.0,68.0,C,11.2,1.7,1.3,756.0,18.4,1
67,Alvan Adams,1976,University of Oklahoma,0,1988.0,82.0,C,12.5,2.4,1.4,611.0,14.9,1
68,Hassan Adams,2007,University of Arizona,0,2007.0,61.0,SG,9.2,1.8,0.6,174.0,4.5,1
69,Jordan Adams,2015,"University of California, Los Angeles",0,2015.0,30.0,SG,6.4,3.4,2.3,94.0,10.1,1
70,Jordan Adams,2015,"University of California, Los Angeles",0,2016.0,2.0,SG,7.6,10.3,0.0,7.0,31.9,1
71,Michael Adams,1986,Boston College,0,1986.0,18.0,PG,2.4,3.0,0.4,40.0,20.3,1
72,Michael Adams,1986,Boston College,0,1987.0,63.0,PG,5.0,3.1,0.3,453.0,25.7,1
73,Michael Adams,1986,Boston College,0,1988.0,82.0,PG,4.2,2.8,0.3,1137.0,22.5,1
74,Michael Adams,1986,Boston College,0,1989.0,77.0,PG,5.2,2.7,0.2,1424.0,22.2,1
